"v","D","sigma"
9065,134.7,2.3
12012,158.9,3.1
15055,198.6,2.8
16687,238.9,2.8
9801,117.1,3.4
4124,56,2.9
13707,183.9,3.1
7880,121.5,2.2
22426,274.6,3.4
7765,102.1,2.7
4227,58,2.4
30253,467,2.4
18212,262.2,2.9
5935,88.6,2.1
10696,151.4,2.4
13518,202.5,2.3
17371,235.9,2.6
12871,176.8,2.6
5434,77.9,2.4
23646,309.5,2.6
26318,391.5,3.1
18997,280.1,2.8
21190,303.4,2.4
15567,236.1,2.1
15002,215.4,2.4
8604,119.7,2.9
14764,202.3,2.7
5424,71.8,3.1
7241,96.7,2.6
8691,127.8,2.7
4847,66.8,2.5
10715,149.9,2.6
14634,185.6,2.7
6673,82.4,2.8
9024,136,2.5
10446,132.7,2.7
